rid,st.date,fin.date,lang,srep.id,year,gender,staff,faculty,alum,parent,affiliate.oth,affiliate.oth2,ethnic,ethnic2,born.in.us,us.citizen,years.in.us,born.ctry,born.city,party,libcon,occ,occ2,manager,psych.course,soc.study,major,educ,educ2
94210,2010.08.09,,en,srep9682,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
94211,2010.08.09,2010.08.09,en,srep9703,1972,Female,1,0,0,0,0,,Asian or Pacific Islander,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),
94212,2010.08.09,2010.08.09,en,srep7825,1952,Female,1,0,0,0,0,,Asian or Pacific Islander,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,No,No,,Other,2 yrs college
94213,2010.08.09,2010.08.09,en,srep8401,1948,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,No,"",Four year college degree (BA or BS),
94214,2010.08.09,2010.08.09,en,srep6908,1987,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Very liberal,,,No,Yes,Yes,,Four year college degree (BA or BS),
94215,2010.08.09,2010.08.09,en,srep5913,1946,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Republican,Slightly conservative,,,Yes,Yes,Yes,,Master's degree (MA or MS),
94217,2010.08.09,2010.08.09,en,srep5125,1964,Female,1,0,0,0,0,,#NAME?,,Yes,,,,,,,,,No,Yes,Yes,,Four year college degree (BA or BS),
94218,2010.08.09,2010.08.09,en,srep8178,1960,Female,1,0,0,0,0,,American Indian Native American,,Yes,,,,,Democrat,Slightly conservative,,,Yes,Yes,No,,Master's degree (MA or MS),
94219,2010.08.09,2010.08.09,en,srep5185,,Female,1,0,0,0,0,,,,Yes,,,,,Democrat,Slightly conservative,,,Yes,Yes,Yes,,Four year college degree (BA or BS),
94220,2010.08.09,2010.08.09,en,srep7413,1978,Female,1,0,0,0,0,,Asian or Pacific Islander,,No,No,10,,,Democrat,Very liberal,,,Yes,No,Yes,,Master's degree (MA or MS),
94221,2010.08.09,2010.08.09,en,srep6221,1979,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Neither liberal nor conservative,,,Yes,Yes,Yes,,Four year college degree (BA or BS),
94223,2010.08.09,2010.08.09,en,srep6681,1957,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,No,,PhD MD MBA Law degree,
94225,2010.08.09,2010.08.09,en,srep8637,1987,Female,1,0,0,0,0,,Asian or Pacific Islander,,No,Yes,20,,,Other,Somewhat liberal,,,No,Yes,Yes,,Four year college degree (BA or BS),
94226,2010.08.09,2010.08.09,en,srep9543,1953,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,No,,Master's degree (MA or MS),
94227,2010.08.09,2010.08.09,en,srep5800,1979,Female,1,0,0,0,0,,Asian or Pacific Islander,,No,No,10,,,Democrat,Somewhat liberal,,,No,No,No,,Master's degree (MA or MS),
94230,2010.08.09,2010.08.09,en,srep6220,1979,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Other,Slightly conservative,,,Yes,Yes,No,,Four year college degree (BA or BS),
94231,2010.08.09,2010.08.09,en,srep6316,1986,Female,1,0,0,0,0,,,,Yes,,,,,Independent,Neither liberal nor conservative,,,No,Yes,Yes,,Four year college degree (BA or BS),
94233,2010.08.09,2010.08.09,en,srep9824,1966,Female,1,0,0,0,0,,Asian or Pacific Islander,,No,Yes,18,,,Democrat,Somewhat liberal,,,Yes,No,No,,Master's degree (MA or MS),
94237,2010.08.09,,en,srep5724,1980,Male,1,0,0,0,0,,Latino or Hispanic,,Yes,,,,,,,,,,,,,,
94239,2010.08.09,2010.08.09,en,srep6032,1967,Male,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Very liberal,,,Yes,Yes,Yes,,Four year college degree (BA or BS),
94240,2010.08.09,2010.08.09,en,srep5882,1981,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,Yes,,Master's degree (MA or MS),
94241,2010.08.09,2010.08.09,en,srep9683,1950,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),
94243,2010.08.09,2010.08.09,en,srep5998,1959,Male,1,0,0,0,0,,White Caucasian,,Yes,,,,,Independent,Somewhat conservative,,,Yes,Yes,Yes,,High school diploma/degree,
94255,2010.08.10,2010.08.10,en,srep9226,1970,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,No,Yes,No,,Four year college degree (BA or BS),
94256,2010.08.10,2010.08.10,en,srep6204,1947,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,No,,Associate's degree,
94257,2010.08.10,2010.08.10,en,srep6826,1945,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Independent,Somewhat liberal,,,Yes,No,No,,Four year college degree (BA or BS),
94258,2010.08.10,2010.08.10,en,srep9493,1980,Female,1,0,0,0,0,,White Caucasian,,No,No,28,,,Democrat,Somewhat liberal,,,No,Yes,No,,Master's degree (MA or MS),
94259,2010.08.10,2010.08.10,en,srep8049,1959,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Republican,Somewhat conservative,,,No,Yes,No,,Four year college degree (BA or BS),
94262,2010.08.10,2010.08.10,en,srep7205,1979,Male,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,Yes,,Four year college degree (BA or BS),
94264,2010.08.10,2010.08.10,en,srep5486,1960,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),
94265,2010.08.10,2010.08.10,en,srep5709,1977,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),
94278,2010.08.11,2010.08.11,en,srep7809,1953,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Other,Very liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),
94282,2010.08.11,2010.08.11,en,srep7082,1970,Female,1,0,0,0,0,,Asian or Pacific Islander,,No,Yes,27,,,Independent,Somewhat liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),
94286,2010.08.11,2010.08.11,en,srep8335,1960,Female,1,0,0,0,0,,Latino or Hispanic,,Yes,,,,,Democrat,Very liberal,,,Yes,Yes,No,,Other,Nursing Doctorate (ND)
94287,2010.08.11,2010.08.11,en,srep7019,1979,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Republican,Neither liberal nor conservative,,,Yes,Yes,Yes,,Master's degree (MA or MS),
94293,2010.08.11,2010.08.11,en,srep8579,1957,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,No,No,Yes,,Master's degree (MA or MS),
94299,2010.08.11,2010.08.11,en,srep8161,1948,Female,1,0,0,0,0,,White Caucasian,,No,No,13,,,Democrat,Somewhat liberal,,,No,No,No,,Other,PHD level 5 years doctoral reserach never written up
94302,2010.08.12,2010.08.12,en,srep7697,1957,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Republican,Slightly conservative,,,Yes,Yes,No,,High school diploma/degree,
94303,2010.08.12,2010.08.12,en,srep9821,1959,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Republican,Slightly conservative,,,Yes,No,No,,High school diploma/degree,
94304,2010.08.12,2010.08.12,en,srep8868,1960,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,No,No,,Four year college degree (BA or BS),
94305,2010.08.12,,en,srep6534,1977,Male,0,0,0,0,1,,Asian or Pacific Islander,,No,Yes,10,,,,,,,,,,,,
94306,2010.08.12,,en,srep6534,1977,Male,0,0,0,0,1,,Asian or Pacific Islander,,No,Yes,10,,,,,,,,,,,,
94307,2010.08.12,2010.08.12,en,srep6534,1977,Male,0,0,0,0,1,,Asian or Pacific Islander,,No,Yes,,,,,,,,No,No,No,,PhD MD MBA Law degree,
94309,2010.08.13,2010.08.13,en,srep7802,1974,Male,0,1,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,Yes,,PhD MD MBA Law degree,
94310,2010.08.13,2010.08.13,en,srep6725,1986,Female,1,0,0,0,0,,Asian or Pacific Islander,,No,Yes,14,,,,,,,No,Yes,No,,Four year college degree (BA or BS),
94312,2010.08.13,2010.08.13,en,srep7707,1977,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,Yes,,Four year college degree (BA or BS),
94314,2010.08.14,2010.08.14,en,srep9470,1963,Female,1,0,0,0,0,,Asian or Pacific Islander,,No,Yes,36,,,Republican,Slightly conservative,,,Yes,Yes,No,,Four year college degree (BA or BS),
94317,2010.08.16,2010.08.16,en,srep5402,1977,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Very liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),
94320,2010.08.16,2010.08.16,en,srep5924,1962,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,Yes,,Four year college degree (BA or BS),
94322,2010.08.16,2010.08.16,en,srep6199,1958,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Very liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),
94324,2010.08.16,2010.08.16,en,srep8461,1948,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,"",Yes,Yes,Yes,,Master's degree (MA or MS),
94327,2010.08.16,2010.08.16,en,srep7863,1954,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Slightly liberal,,,Yes,Yes,No,,Master's degree (MA or MS),
94329,2010.08.17,2010.08.17,en,srep7832,1980,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Democrat,Somewhat liberal,,,No,Yes,Yes,,Four year college degree (BA or BS),
94330,2010.08.17,2010.08.17,en,srep5135,1976,Female,1,0,0,0,0,,Asian or Pacific Islander,,No,Yes,31,,,Democrat,Somewhat liberal,,,No,Yes,No,,Master's degree (MA or MS),
94335,2010.08.18,2010.08.18,en,srep5194,1952,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Other,Very liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),
94337,2010.08.18,2010.08.18,en,srep7391,1962,Female,1,0,0,0,0,,#NAME?,"",Yes,,,,,Democrat,Somewhat liberal,,,Yes,Yes,No,,Associate's degree,
94339,2010.08.19,,en,srep9262,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
94345,2010.08.23,2010.08.23,en,srep7621,1978,Female,1,0,0,0,0,,White Caucasian,,No,Yes,27,,,Democrat,Very liberal,,,No,Yes,No,,Four year college degree (BA or BS),
94349,2010.08.24,,en,srep7391,1962,Female,1,0,0,0,0,,#NAME?,,Yes,,,,,Democrat,Somewhat liberal,,,,,,,,
94356,2010.08.24,2010.08.24,en,srep6262,1960,Male,1,0,0,0,0,,White Caucasian,,No,Yes,21,,,Democrat,Very liberal,,,Yes,No,Yes,,PhD MD MBA Law degree,
94508,2010.09.10,2010.09.10,en,srep7607,1956,Female,1,0,0,0,0,,Asian or Pacific Islander,,No,Yes,35,,,Independent,Somewhat conservative,,,Yes,Yes,Yes,,Master's degree (MA or MS),
94519,2010.09.14,2010.09.14,en,srep6725,1986,Female,1,0,0,0,0,,Asian or Pacific Islander,,No,Yes,14,,,Democrat,Slightly liberal,,,No,Yes,Yes,,Four year college degree (BA or BS),
94527,2010.09.15,2010.09.15,en,srep8345,1969,Female,1,0,0,0,0,,White Caucasian,,Yes,,,,,Other,Somewhat liberal,,,Yes,Yes,No,,Master's degree (MA or MS),
